n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
112,0.00326,-,0.00278,0.16696,-,0.16641
113,0.00256,-,0.00231,0.11489,-,0.11593
114,0.00361,-,0.00252,0.16531,-,0.11547
115,0.00278,-,0.00375,0.11651,-,0.16655
116,0.00378,-,0.00320,0.11625,-,0.16709
117,0.00381,-,0.00341,0.11557,-,0.16610
118,0.00289,-,0.00278,0.16539,-,0.11639
119,0.00387,-,0.00340,0.11574,-,0.11685
120,0.00354,-,0.00338,0.11547,-,0.11599
121,0.00339,-,0.00302,0.16639,-,0.16605
122,0.00318,-,0.00292,0.16574,-,0.16647
123,0.00323,-,0.00315,0.16639,-,0.16677
124,0.00389,-,0.00353,0.11626,-,0.16709
125,0.00411,-,0.00349,0.16689,-,0.11608
126,0.00380,-,0.00313,0.11596,-,0.11636
127,0.00359,-,0.00375,0.16648,-,0.11625
128,0.00322,-,0.00325,0.11545,-,0.11624
129,0.00374,-,0.00360,0.16625,-,0.16693
130,0.00348,-,0.00414,0.11734,-,0.11539
131,0.00324,-,0.00315,0.11614,-,0.11598
132,0.00331,-,0.00326,0.16566,-,0.11613
133,0.00345,-,0.00317,0.11540,-,0.11543
134,0.00299,-,0.00277,0.16628,-,0.11640
135,0.00272,-,0.00229,0.16567,-,0.11642
136,0.00336,-,0.00274,0.11500,-,0.11532
137,0.00336,-,0.00319,0.11540,-,0.16695
138,0.00343,-,0.00267,0.11640,-,0.11642
139,0.00416,-,0.00325,0.16636,-,0.11625
140,0.00381,-,0.00318,0.11598,-,0.16672
141,0.00355,-,0.00325,0.11519,-,0.16641
142,0.00401,-,0.00350,0.16645,-,0.11642
143,0.00345,-,0.00298,0.11589,-,0.11676
144,0.00366,-,0.00318,0.11593,-,0.16699
145,0.00366,-,0.00368,0.16612,-,0.16721
146,0.00368,-,0.00327,0.11618,-,0.11638
147,0.00391,-,0.00340,0.11596,-,0.16651
148,0.00307,-,0.00324,0.11645,-,0.11606
149,0.00365,-,0.00252,0.11509,-,0.11570
150,0.00347,-,0.00295,0.11581,-,0.16598
151,0.00388,-,0.00327,0.16613,-,0.11652
152,0.00366,-,0.00337,0.16630,-,0.16641
153,0.00334,-,0.00300,0.11614,-,0.11658
154,0.00362,-,0.00310,0.11584,-,0.16676
155,0.00339,-,0.00313,0.11598,-,0.11634
156,0.00393,-,0.00375,0.16658,-,0.11654
157,0.00360,-,0.00207,0.11629,-,0.11632
158,0.00345,-,0.00291,0.11539,-,0.11591
159,0.00304,-,0.00273,0.16629,-,0.11617
160,0.00367,-,0.00316,0.11572,-,0.11577
161,0.00313,-,0.00277,0.11548,-,0.16691
162,0.00396,-,0.00352,0.16676,-,0.11669
163,0.00357,-,0.00321,0.11601,-,0.11647
164,0.00376,-,0.00322,0.11581,-,0.11647
165,0.00347,-,0.00299,0.11569,-,0.11654
166,0.00364,-,0.00323,0.11606,-,0.11632
167,0.00398,-,0.00314,0.11546,-,0.16604
168,0.00390,-,0.00298,0.11591,-,0.11613
169,0.00331,-,0.00271,0.11524,-,0.11573
170,0.00320,-,0.00283,0.11574,-,0.11631
171,0.00330,-,0.00279,0.16606,-,0.11655
172,0.00395,-,0.00355,0.11590,-,0.16661
173,0.00374,-,0.00349,0.16698,-,0.11636
174,0.00378,-,0.00337,0.16654,-,0.11633
175,0.00309,-,0.00214,0.11604,-,0.11634
176,0.00378,-,0.00355,0.16649,-,0.11592
177,0.00414,-,0.00361,0.16625,-,0.11615
178,0.00327,-,0.00285,0.16632,-,0.11586
179,0.00358,-,0.00304,0.11606,-,0.16678
180,0.00373,-,0.00341,0.11630,-,0.11646
181,0.00345,-,0.00313,0.11543,-,0.16602
182,0.00296,-,0.00279,0.11500,-,0.16564
183,0.00300,-,0.00272,0.11503,-,0.11547
184,0.00355,-,0.00319,0.11557,-,0.16650
185,0.00371,-,0.00313,0.11584,-,0.16574
186,0.00322,-,0.00244,0.16565,-,0.16622
187,0.00315,-,0.00270,0.11581,-,0.11603
188,0.00352,-,0.00292,0.16518,-,0.11511
189,0.00316,-,0.00269,0.11489,-,0.16596
190,0.00335,-,0.00285,0.11561,-,0.16596
191,0.00293,-,0.00253,0.11491,-,0.16667
192,0.00335,-,0.00336,0.11613,-,0.11574
193,0.00322,-,0.00327,0.11557,-,0.11649
194,0.00345,-,0.00295,0.16591,-,0.11514
195,0.00280,-,0.00291,0.11548,-,0.11672
196,0.00319,-,0.00285,0.16645,-,0.16641
197,0.00422,-,0.00353,0.11630,-,0.11649
198,0.00386,-,0.00313,0.16665,-,0.11619
199,0.00354,-,0.00304,0.16682,-,0.16671
200,0.00351,-,0.00355,0.16610,-,0.16615
201,0.00432,-,0.00365,0.11571,-,0.11550
202,0.00354,-,0.00254,0.16583,-,0.11629
203,0.00320,-,0.00349,0.16554,-,0.11621
204,0.00327,-,0.00295,0.11583,-,0.11637
205,0.00360,-,0.00272,0.11566,-,0.16623
206,0.00371,-,0.00309,0.11645,-,0.16650
207,0.00307,-,0.00364,0.16646,-,0.11649
208,0.00332,-,0.00299,0.16615,-,0.11596
209,0.00313,-,0.00328,0.11642,-,0.16715
210,0.00380,-,0.00342,0.11546,-,0.16569
211,0.00335,-,0.00296,0.16578,-,0.11620
212,0.00392,-,0.00351,0.16672,-,0.11648
213,0.00364,-,0.00320,0.16634,-,0.11602
214,0.00363,-,0.00321,0.16608,-,0.16623
215,0.00363,-,0.00314,0.16654,-,0.11631
216,0.00343,-,0.00385,0.11645,-,0.11642
217,0.00348,-,0.00341,0.11635,-,0.11590
218,0.00406,-,0.00337,0.11604,-,0.16729
219,0.00342,-,0.00324,0.11539,-,0.11521
220,0.00304,-,0.00263,0.16622,-,0.16744
221,0.00375,-,0.00382,0.16548,-,0.16627
222,0.00301,-,0.00317,0.16617,-,0.11612
223,0.00350,-,0.00326,0.11573,-,0.16665
224,0.00334,-,0.00300,0.11562,-,0.11591
225,0.00315,-,0.00270,0.16611,-,0.16663
226,0.00379,-,0.00318,0.11597,-,0.11653
227,0.00362,-,0.00325,0.11614,-,0.11634
228,0.00353,-,0.00299,0.11554,-,0.11615
229,0.00370,-,0.00365,0.16604,-,0.11641
230,0.00363,-,0.00343,0.11590,-,0.16670
231,0.00339,-,0.00328,0.11578,-,0.11550
232,0.00288,-,0.00324,0.11650,-,0.11619
233,0.00302,-,0.00272,0.11626,-,0.11637
234,0.00318,-,0.00299,0.11525,-,0.11582
235,0.00406,-,0.00342,0.11637,-,0.11648
236,0.00359,-,0.00322,0.11592,-,0.11634
237,0.00373,-,0.00325,0.11586,-,0.11595
238,0.00361,-,0.00323,0.16615,-,0.11625
239,0.00391,-,0.00356,0.11627,-,0.11727
240,0.00440,-,0.00288,0.16596,-,0.11619
241,0.00427,-,0.00343,0.11565,-,0.16676
242,0.00357,-,0.00306,0.16612,-,0.16641
243,0.00350,-,0.00368,0.16567,-,0.11594
244,0.00388,-,0.00395,0.11595,-,0.16706
245,0.00370,-,0.00337,0.16647,-,0.11648
246,0.00331,-,0.00293,0.11561,-,0.16611
247,0.00382,-,0.00324,0.16620,-,0.11537
248,0.00375,-,0.00297,0.11596,-,0.16689
249,0.00380,-,0.00307,0.16626,-,0.11615
250,0.00414,-,0.00339,0.16622,-,0.11641
251,0.00362,-,0.00299,0.16567,-,0.11642
252,0.00379,-,0.00350,0.11573,-,0.11689
253,0.00385,-,0.00322,0.16632,-,0.16668
254,0.00324,-,0.00356,0.16630,-,0.11627
255,0.00379,-,0.00321,0.11613,-,0.11676
256,0.00386,-,0.00326,0.11640,-,0.11658
257,0.00354,-,0.00319,0.11614,-,0.16715
258,0.00380,-,0.00309,0.11567,-,0.11612
259,0.00407,-,0.00339,0.11581,-,0.11554
260,0.00271,-,0.00295,0.11524,-,0.11584
261,0.00288,-,0.00251,0.11498,-,0.11533
262,0.00324,-,0.00365,0.11568,-,0.11591
263,0.00326,-,0.00337,0.16714,-,0.16722
264,0.00381,-,0.00329,0.11585,-,0.11601
265,0.00338,-,0.00290,0.11581,-,0.11661
266,0.00387,-,0.00346,0.16651,-,0.11798
267,0.00439,-,0.00370,0.16635,-,0.11625
268,0.00349,-,0.00284,0.16622,-,0.16682
269,0.00370,-,0.00329,0.16645,-,0.16660
270,0.00389,-,0.00310,0.16598,-,0.11618
271,0.00362,-,0.00315,0.11602,-,0.11603
272,0.00344,-,0.00288,0.16542,-,0.11549
273,0.00308,-,0.00318,0.16601,-,0.11679
274,0.00346,-,0.00300,0.11576,-,0.11598
275,0.00345,-,0.00366,0.11601,-,0.16676
276,0.00299,-,0.00270,0.11545,-,0.16716
277,0.00349,-,0.00307,0.16596,-,0.11612
278,0.00333,-,0.00312,0.11657,-,0.16674
279,0.00380,-,0.00328,0.16635,-,0.16674
280,0.00350,-,0.00336,0.11593,-,0.11703
281,0.00376,-,0.00326,0.16645,-,0.11577
282,0.00363,-,0.00360,0.16554,-,0.11531
283,0.00296,-,0.00317,0.16545,-,0.16554
284,0.00338,-,0.00306,0.16565,-,0.11594
285,0.00278,-,0.00244,0.11527,-,0.11658
286,0.00406,-,0.00247,0.16638,-,0.16653
287,0.00357,-,0.00305,0.11568,-,0.16692
288,0.00324,-,0.00352,0.11555,-,0.11618
289,0.00342,-,0.00358,0.11616,-,0.11621
290,0.00299,-,0.00324,0.11550,-,0.16654
291,0.00346,-,0.00284,0.16582,-,0.16670
292,0.00355,-,0.00336,0.16627,-,0.16650
293,0.00319,-,0.00285,0.11640,-,0.16718
294,0.00333,-,0.00279,0.11562,-,0.16641
295,0.00339,-,0.00320,0.11565,-,0.16598
296,0.00395,-,0.00323,0.16611,-,0.11609
297,0.00340,-,0.00403,0.16625,-,0.16630
298,0.00282,-,0.00252,0.16574,-,0.16697
299,0.00533,-,0.00323,0.16644,-,0.16706
300,0.00354,-,0.00308,0.11609,-,0.16679
301,0.00354,-,0.00318,0.11616,-,0.11667
302,0.00354,-,0.00302,0.11622,-,0.11637
303,0.00346,-,0.00305,0.11605,-,0.11691
304,0.00339,-,0.00369,0.11604,-,0.16714
305,0.00350,-,0.00280,0.16649,-,0.16649
306,0.00358,-,0.00289,0.16553,-,0.11558
