n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
518,0.00602,-,0.00341,0.11613,-,0.11651
519,0.00356,-,0.00317,0.11566,-,0.16584
520,0.00593,-,0.00339,0.11575,-,0.16600
521,0.00548,-,0.00328,0.16614,-,0.16702
522,0.00605,-,0.00365,0.16595,-,0.16615
523,0.00606,-,0.00339,0.16635,-,0.21642
524,0.00608,-,0.00325,0.16629,-,0.21739
525,0.00608,-,0.00319,0.16628,-,0.16639
526,0.00522,-,0.00313,0.11537,-,0.21751
527,0.00611,-,0.00373,0.16689,-,0.21714
528,0.00327,-,0.00371,0.11614,-,0.21728
529,0.00386,-,0.00332,0.11619,-,0.16643
530,0.00542,-,0.00291,0.11645,-,0.16653
531,0.00379,-,0.00396,0.11630,-,0.31760
532,0.00318,-,0.00355,0.11603,-,0.21655
533,0.00550,-,0.00295,0.16649,-,0.21700
534,0.00273,-,0.00260,0.11506,-,0.16600
535,0.00303,-,0.00284,0.16567,-,0.16662
536,0.00350,-,0.00304,0.11542,-,0.16632
537,0.00332,-,0.00338,0.16663,-,0.16612
538,0.00350,-,0.00367,0.16661,-,0.16668
539,0.00625,-,0.00350,0.11611,-,0.21751
540,0.00316,-,0.00313,0.16666,-,0.16613
541,0.00573,-,0.00325,0.11598,-,0.16619
542,0.00584,-,0.00302,0.16624,-,0.21617
543,0.00281,-,0.00337,0.16613,-,0.21706
544,0.00559,-,0.00286,0.16598,-,0.16673
545,0.00613,-,0.00358,0.16657,-,0.16665
546,0.00380,-,0.00328,0.11585,-,0.11629
547,0.00571,-,0.00313,0.16608,-,0.16650
548,0.00358,-,0.00332,0.11610,-,0.16605
549,0.00494,-,0.00273,0.11506,-,0.16687
550,0.00522,-,0.00301,0.16581,-,0.16594
551,0.00560,-,0.00320,0.16571,-,0.16567
552,0.00597,-,0.00374,0.16669,-,0.16660
553,0.00580,-,0.00370,0.11673,-,0.21593
554,0.00547,-,0.00325,0.11583,-,0.21689
555,0.00571,-,0.00333,0.16644,-,0.16644
556,0.00547,-,0.00318,0.16560,-,0.16625
557,0.00573,-,0.00304,0.11586,-,0.21733
558,0.00584,-,0.00322,0.11596,-,0.16593
559,0.00347,-,0.00379,0.16629,-,0.16707
560,0.00598,-,0.00329,0.11599,-,0.16615
561,0.00323,-,0.00285,0.11584,-,0.16588
562,0.00588,-,0.00337,0.11615,-,0.16618
563,0.00363,-,0.00313,0.11590,-,0.16649
564,0.00603,-,0.00347,0.16659,-,0.21699
565,0.00588,-,0.00323,0.11565,-,0.21699
566,0.00596,-,0.00340,0.16643,-,0.16678
567,0.00331,-,0.00301,0.11574,-,0.16651
568,0.00367,-,0.00325,0.11608,-,0.16701
569,0.00581,-,0.00323,0.16670,-,0.16706
570,0.00611,-,0.00345,0.16720,-,0.16695
571,0.00382,-,0.00332,0.11624,-,0.16629
572,0.00631,-,0.00354,0.16652,-,0.16657
573,0.00371,-,0.00318,0.11595,-,0.16686
574,0.00601,-,0.00333,0.16631,-,0.16685
575,0.00349,-,0.00316,0.16687,-,0.21754
576,0.00373,-,0.00211,0.11592,-,0.16676
577,0.00575,-,0.00334,0.11622,-,0.21706
578,0.00584,-,0.00363,0.16584,-,0.21624
579,0.00581,-,0.00329,0.11576,-,0.21632
580,0.00584,-,0.00318,0.11558,-,0.16589
581,0.00300,-,0.00271,0.11536,-,0.16589
582,0.00352,-,0.00319,0.16612,-,0.16653
583,0.00351,-,0.00326,0.11607,-,0.16642
584,0.00609,-,0.00353,0.11639,-,0.16665
585,0.00377,-,0.00331,0.16619,-,0.16691
586,0.00341,-,0.00309,0.11591,-,0.21707
587,0.00369,-,0.00387,0.11627,-,0.16652
588,0.00573,-,0.00341,0.16641,-,0.16652
589,0.00356,-,0.00350,0.16614,-,0.16620
590,0.00310,-,0.00278,0.16571,-,0.21673
591,0.00619,-,0.00309,0.16628,-,0.21667
592,0.00532,-,0.00326,0.16630,-,0.16642
593,0.00319,-,0.00370,0.16639,-,0.16613
594,0.00544,-,0.00323,0.11626,-,0.16645
595,0.00366,-,0.00337,0.16605,-,0.16631
596,0.00546,-,0.00302,0.16569,-,0.16618
597,0.00569,-,0.00354,0.16602,-,0.16580
598,0.00587,-,0.00365,0.11582,-,0.21646
599,0.00517,-,0.00290,0.11546,-,0.21656
600,0.00539,-,0.00362,0.11580,-,0.16708
601,0.00536,-,0.00304,0.11593,-,0.21713
602,0.00552,-,0.00335,0.11620,-,0.16675
603,0.00557,-,0.00326,0.16593,-,0.16644
604,0.00617,-,0.00325,0.11623,-,0.16609
605,0.00602,-,0.00371,0.11646,-,0.21726
606,0.00543,-,0.00373,0.16605,-,0.21700
607,0.00574,-,0.00324,0.16564,-,0.16548
608,0.00371,-,0.00308,0.11616,-,0.21696
609,0.00584,-,0.00321,0.16595,-,0.16617
610,0.00516,-,0.00256,0.16509,-,0.16564
611,0.00524,-,0.00289,0.11518,-,0.16545
612,0.00554,-,0.00343,0.16670,-,0.16684
613,0.00374,-,0.00334,0.11619,-,0.16645
614,0.00610,-,0.00368,0.16607,-,0.21686
615,0.00571,-,0.00301,0.11587,-,0.16567
616,0.00631,-,0.00320,0.16556,-,0.16553
617,0.00583,-,0.00364,0.16660,-,0.21709
618,0.00538,-,0.00326,0.11573,-,0.16624
619,0.00636,-,0.00339,0.11573,-,0.16612
620,0.00636,-,0.00373,0.16695,-,0.16671
621,0.00560,-,0.00312,0.16591,-,0.16687
622,0.00642,-,0.00338,0.16648,-,0.16618
623,0.00344,-,0.00349,0.16631,-,0.16636
624,0.00553,-,0.00355,0.16611,-,0.16551
625,0.00295,-,0.00258,0.11529,-,0.21629
626,0.00325,-,0.00268,0.11516,-,0.16570
627,0.00342,-,0.00314,0.11589,-,0.16649
628,0.00345,-,0.00305,0.11589,-,0.16663
629,0.00556,-,0.00352,0.16689,-,0.16687
630,0.00598,-,0.00362,0.16621,-,0.16680
631,0.00354,-,0.00310,0.11594,-,0.16664
632,0.00341,-,0.00315,0.16620,-,0.16634
633,0.00569,-,0.00328,0.11572,-,0.16623
634,0.00336,-,0.00268,0.11532,-,0.16592
635,0.00570,-,0.00349,0.11622,-,0.16615
636,0.00625,-,0.00351,0.16601,-,0.16684
637,0.00369,-,0.00402,0.11641,-,0.16673
638,0.00582,-,0.00348,0.16695,-,0.21691
639,0.00356,-,0.00329,0.16586,-,0.21613
640,0.00533,-,0.00309,0.16572,-,0.21595
641,0.00539,-,0.00310,0.16627,-,0.16611
642,0.00287,-,0.00273,0.11543,-,0.16586
643,0.00520,-,0.00400,0.16656,-,0.21647
644,0.00342,-,0.00366,0.11591,-,0.16585
645,0.00545,-,0.00303,0.16656,-,0.16647
646,0.00609,-,0.00355,0.11581,-,0.16613
647,0.00583,-,0.00323,0.11617,-,0.16621
648,0.00488,-,0.00351,0.11599,-,0.16597
649,0.00556,-,0.00371,0.16627,-,0.16656
650,0.00546,-,0.00344,0.11560,-,0.21714
651,0.00596,-,0.00361,0.16651,-,0.21706
652,0.00593,-,0.00345,0.11616,-,0.16642
653,0.00562,-,0.00298,0.16584,-,0.16619
654,0.00333,-,0.00297,0.11607,-,0.16629
655,0.00621,-,0.00359,0.16623,-,0.21577
656,0.00310,-,0.00310,0.16645,-,0.16618
657,0.00369,-,0.00309,0.11608,-,0.16630
658,0.00372,-,0.00359,0.16599,-,0.16680
659,0.00628,-,0.00345,0.11650,-,0.21710
660,0.00325,-,0.00359,0.16627,-,0.16686
661,0.00592,-,0.00384,0.11649,-,0.16650
662,0.00594,-,0.00318,0.16711,-,0.16688
663,0.00594,-,0.00310,0.21709,-,0.16619
664,0.00583,-,0.00374,0.16622,-,0.16719
665,0.00370,-,0.00396,0.11662,-,0.21742
666,0.00605,-,0.00316,0.16695,-,0.16671
667,0.00636,-,0.00325,0.11559,-,0.16640
668,0.00580,-,0.00350,0.16659,-,0.21695
669,0.00599,-,0.00376,0.16608,-,0.21754
670,0.00600,-,0.00318,0.16645,-,0.16615
671,0.00516,-,0.00352,0.16658,-,0.16604
672,0.00561,-,0.00324,0.16613,-,0.16627
673,0.00555,-,0.00380,0.11565,-,0.21688
674,0.00546,-,0.00347,0.16645,-,0.16602
675,0.00580,-,0.00312,0.11567,-,0.16649
676,0.00341,-,0.00365,0.16636,-,0.16689
677,0.00616,-,0.00330,0.11648,-,0.16663
678,0.00535,-,0.00360,0.16663,-,0.21727
679,0.00363,-,0.00304,0.16628,-,0.21685
680,0.00359,-,0.00317,0.11601,-,0.16646
681,0.00528,-,0.00310,0.11566,-,0.21680
682,0.00573,-,0.00417,0.21670,-,0.21641
683,0.00515,-,0.00315,0.16536,-,0.16653
684,0.00324,-,0.00328,0.16638,-,0.16629
685,0.00336,-,0.00291,0.11559,-,0.16646
686,0.00515,-,0.00298,0.16570,-,0.16660
687,0.00564,-,0.00332,0.16646,-,0.21730
688,0.00349,-,0.00326,0.11613,-,0.16662
689,0.00592,-,0.00376,0.16639,-,0.16686
690,0.00359,-,0.00333,0.16609,-,0.16641
691,0.00356,-,0.00329,0.11607,-,0.16663
692,0.00344,-,0.00315,0.11619,-,0.16656
693,0.00362,-,0.00294,0.11572,-,0.16696
694,0.00612,-,0.00346,0.16647,-,0.21709
695,0.00571,-,0.00314,0.11599,-,0.16652
696,0.00606,-,0.00402,0.16657,-,0.21678
697,0.00385,-,0.00366,0.16622,-,0.21724
698,0.00563,-,0.00352,0.16588,-,0.16640
699,0.00597,-,0.00384,0.16626,-,0.16559
700,0.00336,-,0.00294,0.11563,-,0.16652
701,0.00574,-,0.00319,0.11620,-,0.16696
702,0.00607,-,0.00338,0.11620,-,0.16668
703,0.00350,-,0.00350,0.16653,-,0.16680
704,0.00377,-,0.00323,0.11610,-,0.16654
705,0.00599,-,0.00324,0.11585,-,0.16660
706,0.00610,-,0.00365,0.16599,-,0.16619
707,0.00621,-,0.00395,0.16666,-,0.21692
708,0.00578,-,0.00356,0.11605,-,0.21596
709,0.00311,-,0.00324,0.16635,-,0.21789
710,0.00591,-,0.00364,0.11619,-,0.21580
711,0.00598,-,0.00357,0.21684,-,0.16704
712,0.00577,-,0.00328,0.11600,-,0.16617
713,0.00561,-,0.00328,0.11595,-,0.21584
714,0.00508,-,0.00381,0.16606,-,0.21613
715,0.00497,-,0.00300,0.11555,-,0.21642
716,0.00570,-,0.00294,0.11593,-,0.16583
717,0.00575,-,0.00358,0.16635,-,0.16653
718,0.00554,-,0.00290,0.11542,-,0.16609
719,0.00332,-,0.00374,0.16608,-,0.16625
720,0.00627,-,0.00399,0.11629,-,0.21705
721,0.00355,-,0.00327,0.16682,-,0.16674
722,0.00582,-,0.00377,0.11625,-,0.21662
723,0.00608,-,0.00328,0.11616,-,0.21686
724,0.00369,-,0.00235,0.11602,-,0.21705
725,0.00562,-,0.00324,0.16622,-,0.16646
726,0.00368,-,0.00359,0.21663,-,0.21680
727,0.00575,-,0.00361,0.16631,-,0.21693
728,0.00581,-,0.00326,0.16617,-,0.21683
729,0.00368,-,0.00291,0.11520,-,0.21676
730,0.00579,-,0.00359,0.16636,-,0.16672
731,0.00353,-,0.00332,0.11587,-,0.16664
732,0.00375,-,0.00324,0.11609,-,0.16671
733,0.00572,-,0.06920,0.11641,-,0.16663
734,0.00592,-,0.00341,0.16630,-,0.16682
735,0.00585,-,0.00333,0.16634,-,0.16680
736,0.00359,-,0.00324,0.11575,-,0.21662
737,0.00585,-,0.00339,0.16663,-,0.21670
738,0.00756,-,0.00347,0.21653,-,0.21671
739,0.00586,-,0.00386,0.16649,-,0.21631
740,0.00538,-,0.00292,0.16528,-,0.16555
741,0.00528,-,0.00296,0.16532,-,0.21554
742,0.00288,-,0.00264,0.11540,-,0.26721
743,0.00536,-,0.00274,0.16572,-,0.16658
744,0.00351,-,0.00322,0.16567,-,0.16619
745,0.00369,-,0.00331,0.16622,-,0.21681
746,0.00606,-,0.00352,0.11594,-,0.21697
747,0.00535,-,0.00303,0.16592,-,0.16620
748,0.00618,-,0.00351,0.11654,-,0.21643
749,0.00580,-,0.00339,0.11617,-,0.21657
750,0.00512,-,0.00369,0.16651,-,0.21684
751,0.00621,-,0.00222,0.11598,-,0.16697
752,0.00513,-,0.00253,0.11487,-,0.16555
753,0.00546,-,0.00320,0.11621,-,0.16606
754,0.00569,-,0.00319,0.16603,-,0.21632
755,0.00329,-,0.00319,0.16666,-,0.21642
756,0.00600,-,0.00350,0.16639,-,0.16697
757,0.00379,-,0.00339,0.16638,-,0.16645
758,0.00518,-,0.00273,0.11522,-,0.16548
759,0.00519,-,0.00266,0.16545,-,0.21644
760,0.00363,-,0.00318,0.11608,-,0.21702
761,0.00517,-,0.00259,0.11521,-,0.26572
762,0.00539,-,0.00354,0.11651,-,0.21713
763,0.00359,-,0.00373,0.11565,-,0.16556
764,0.00291,-,0.00349,0.16684,-,0.16668
765,0.00313,-,0.00261,0.11607,-,0.21587
766,0.00519,-,0.00262,0.16679,-,0.21690
767,0.00539,-,0.00270,0.21676,-,0.21725
768,0.00573,-,0.00375,0.16634,-,0.21671
769,0.00576,-,0.00365,0.16660,-,0.21712
770,0.01037,-,0.00412,0.16673,-,0.16641
771,0.00591,-,0.00318,0.16580,-,0.16580
772,0.00501,-,0.00265,0.21584,-,0.26642
773,0.00565,-,0.00334,0.16613,-,0.21695
774,0.00606,-,0.00327,0.16654,-,0.16648
775,0.00365,-,0.00334,0.16665,-,0.21668
776,0.00547,-,0.00314,0.16611,-,0.16673
777,0.00345,-,0.00312,0.11606,-,0.16662
778,0.00565,-,0.00342,0.16591,-,0.16556
779,0.00590,-,0.00312,0.16565,-,0.26597
780,0.00991,-,0.00357,0.11593,-,0.21622
781,0.00545,-,0.00281,0.21552,-,0.16544
782,0.00555,-,0.00387,0.16644,-,0.26704
783,0.00617,-,0.00323,0.11636,-,0.21700
784,0.00988,-,0.00319,0.16609,-,0.16607
785,0.00492,-,0.00299,0.11525,-,0.16609
786,0.00988,-,0.00298,0.11551,-,0.21573
787,0.01060,-,0.00365,0.16645,-,0.21688
788,0.00548,-,0.00301,0.16645,-,0.16683
789,0.00370,-,0.00373,0.11619,-,0.21662
790,0.00535,-,0.00295,0.16612,-,0.21710
791,0.00567,-,0.00327,0.11623,-,0.21655
792,0.00999,-,0.00306,0.16576,-,0.26679
793,0.00571,-,0.00310,0.11576,-,0.16648
794,0.00366,-,0.00304,0.11602,-,0.16663
795,0.00630,-,0.00364,0.16658,-,0.21761
796,0.00565,-,0.00324,0.16630,-,0.16653
797,0.00600,-,0.00322,0.16664,-,0.21698
798,0.01015,-,0.00371,0.16651,-,0.21625
799,0.00476,-,0.00253,0.11520,-,0.21649
800,0.00510,-,0.00312,0.16596,-,0.26685
801,0.00364,-,0.00334,0.11647,-,0.21711
802,0.00376,-,0.00322,0.11616,-,0.21717
803,0.00996,-,0.00321,0.16657,-,0.21685
804,0.00965,-,0.00372,0.16648,-,0.21726
805,0.01010,-,0.00361,0.21658,-,0.21710
806,0.01026,-,0.00350,0.11601,-,0.16675
807,0.00367,-,0.00329,0.11602,-,0.16656
808,0.00342,-,0.00332,0.11601,-,0.21640
809,0.00628,-,0.00347,0.16635,-,0.16637
810,0.01030,-,0.00379,0.16681,-,0.21721
811,0.00597,-,0.00352,0.16680,-,0.16636
812,0.01061,-,0.00342,0.11598,-,0.21612
813,0.00521,-,0.00374,0.21685,-,0.21701
814,0.00584,-,0.00352,0.16648,-,0.21702
815,0.01006,-,0.00350,0.21653,-,0.21700
816,0.00975,-,0.00302,0.16587,-,0.26621
817,0.00944,-,0.00305,0.16547,-,0.16547
818,0.00519,-,0.00274,0.11518,-,0.16564
819,0.00519,-,0.00274,0.11529,-,0.16592
820,0.00512,-,0.00284,0.11520,-,0.16558
821,0.00522,-,0.00283,0.11515,-,0.16564
822,0.00509,-,0.00269,0.11510,-,0.16646
823,0.01007,-,0.00341,0.16662,-,0.21686
824,0.00544,-,0.00276,0.16543,-,0.21724
825,0.01037,-,0.00381,0.11607,-,0.21730
826,0.01034,-,0.00392,0.11617,-,0.16573
827,0.00541,-,0.00284,0.16540,-,0.16605
828,0.00523,-,0.00267,0.11564,-,0.16654
829,0.00345,-,0.00298,0.11580,-,0.16636
830,0.00575,-,0.00366,0.16605,-,0.21642
831,0.01031,-,0.00364,0.11604,-,0.21736
832,0.01024,-,0.00413,0.11588,-,0.26695
833,0.00566,-,0.00362,0.21678,-,0.21676
834,0.01013,-,0.00349,0.21762,-,0.26760
835,0.00595,-,0.00343,0.11616,-,0.16570
836,0.00948,-,0.00322,0.16606,-,0.21624
837,0.00601,-,0.00322,0.21712,-,0.21686
838,0.00549,-,0.00343,0.16717,-,0.21661
839,0.00578,-,0.00309,0.11593,-,0.21615
840,0.00493,-,0.00235,0.16592,-,0.16615
841,0.00519,-,0.00267,0.11561,-,0.21656
842,0.00517,-,0.00346,0.16705,-,0.26762
843,0.00585,-,0.00373,0.11515,-,0.21643
844,0.00538,-,0.00287,0.16597,-,0.26669
845,0.00988,-,0.00379,0.16649,-,0.21603
846,0.01004,-,0.00325,0.16631,-,0.26703
847,0.00585,-,0.00352,0.11579,-,0.26697
848,0.01030,-,0.00348,0.16628,-,0.21697
849,0.00970,-,0.00363,0.16646,-,0.21592
850,0.00984,-,0.00371,0.16700,-,0.21686
851,0.00624,-,0.00391,0.16581,-,0.21617
852,0.01003,-,0.00325,0.21700,-,0.21600
853,0.00482,-,0.00315,0.11553,-,0.26698
854,0.00581,-,0.00327,0.11615,-,0.16686
855,0.00575,-,0.00319,0.11613,-,0.16658
856,0.00574,-,0.00323,0.11605,-,0.16664
857,0.00570,-,0.00323,0.11583,-,0.16680
858,0.00558,-,0.00316,0.11605,-,0.16654
859,0.00576,-,0.00312,0.16653,-,0.21635
860,0.00997,-,0.00339,0.21632,-,0.21627
861,0.01012,-,0.00353,0.16618,-,0.21674
862,0.01020,-,0.00373,0.16562,-,0.21605
863,0.00968,-,0.00340,0.16603,-,0.21650
864,0.00970,-,0.00265,0.11617,-,0.26726
865,0.00577,-,0.00333,0.16634,-,0.21673
866,0.00578,-,0.00377,0.16629,-,0.21617
867,0.00976,-,0.00322,0.11551,-,0.21600
868,0.00984,-,0.00400,0.16619,-,0.21659
869,0.00976,-,0.00371,0.16611,-,0.21672
870,0.00559,-,0.00343,0.16623,-,0.21634
871,0.00498,-,0.00343,0.16581,-,0.21547
872,0.00548,-,0.00287,0.21691,-,0.21696
873,0.00998,-,0.00253,0.16594,-,0.21615
874,0.01002,-,0.00330,0.11588,-,0.26685
875,0.00523,-,0.00365,0.16628,-,0.21672
876,0.00549,-,0.00348,0.11608,-,0.21588
877,0.00999,-,0.00330,0.16668,-,0.26719
878,0.00991,-,0.00357,0.16625,-,0.16680
879,0.00995,-,0.00306,0.16672,-,0.21613
880,0.00545,-,0.00328,0.16612,-,0.21604
881,0.00495,-,0.00305,0.16659,-,0.26755
882,0.01003,-,0.00402,0.21686,-,0.21725
883,0.00567,-,0.00317,0.11607,-,0.16679
884,0.00567,-,0.00328,0.11600,-,0.21708
885,0.00586,-,0.00334,0.16637,-,0.21714
886,0.00979,-,0.00279,0.16679,-,0.21702
887,0.00553,-,0.00307,0.16624,-,0.21718
888,0.00581,-,0.00354,0.16650,-,0.21650
889,0.00572,-,0.00329,0.16642,-,0.21702
890,0.00976,-,0.00348,0.16634,-,0.21660
891,0.00551,-,0.00325,0.16619,-,0.21719
892,0.00638,-,0.00342,0.16601,-,0.21689
893,0.00964,-,0.00325,0.21632,-,0.21670
894,0.00581,-,0.00315,0.11616,-,0.26713
895,0.00539,-,0.00345,0.16648,-,0.21629
896,0.00947,-,0.00349,0.16659,-,0.21733
897,0.01023,-,0.00375,0.16624,-,0.21646
898,0.00963,-,0.00366,0.16657,-,0.26742
899,0.00606,-,0.00370,0.16660,-,0.21677
900,0.01013,-,0.00382,0.16662,-,0.21688
901,0.00502,-,0.00343,0.16624,-,0.21721
902,0.01008,-,0.00333,0.16593,-,0.21680
903,0.00978,-,0.00368,0.16702,-,0.26746
904,0.01010,-,0.00380,0.16801,-,0.26697
905,0.00529,-,0.00356,0.16667,-,0.26708
906,0.00986,-,0.00340,0.16644,-,0.21643
907,0.00986,-,0.00356,0.16642,-,0.26735
908,0.00996,-,0.00347,0.16635,-,0.21689
909,0.00591,-,0.00350,0.16611,-,0.26785
910,0.00986,-,0.00345,0.16626,-,0.26667
911,0.00594,-,0.00356,0.16637,-,0.21618
912,0.01023,-,0.00402,0.16668,-,0.21669
913,0.00528,-,0.00269,0.16569,-,0.21655
914,0.00495,-,0.00272,0.16545,-,0.21608
915,0.00535,-,0.00381,0.16594,-,0.21639
916,0.00588,-,0.00388,0.16624,-,0.21655
917,0.01000,-,0.00342,0.16651,-,0.21643
918,0.00613,-,0.00377,0.16602,-,0.26673
919,0.00936,-,0.00349,0.16586,-,0.21769
920,0.01020,-,0.00361,0.16672,-,0.21713
921,0.00997,-,0.00336,0.16597,-,0.21646
922,0.00581,-,0.00334,0.16633,-,0.21655
923,0.00554,-,0.00308,0.11580,-,0.21708
924,0.00562,-,0.00332,0.16663,-,0.21727
925,0.00576,-,0.00326,0.16638,-,0.26701
926,0.01018,-,0.00396,0.21690,-,0.21711
927,0.00608,-,0.00332,0.16640,-,0.21672
928,0.00575,-,0.00313,0.16617,-,0.26702
929,0.00557,-,0.00325,0.16537,-,0.21576
930,0.00536,-,0.00304,0.16597,-,0.26669
931,0.00559,-,0.00308,0.16536,-,0.26703
932,0.01033,-,0.00360,0.16632,-,0.21696
933,0.00627,-,0.00397,0.16628,-,0.21702
934,0.00565,-,0.00335,0.16626,-,0.26736
935,0.00981,-,0.00330,0.16625,-,0.21675
936,0.00577,-,0.00325,0.16629,-,0.21665
937,0.00550,-,0.00321,0.11592,-,0.21674
938,0.00582,-,0.00344,0.16639,-,0.21670
939,0.01007,-,0.00323,0.16590,-,0.21606
940,0.00555,-,0.00325,0.16626,-,0.21686
941,0.00507,-,0.00274,0.16635,-,0.21692
942,0.00963,-,0.00257,0.16499,-,0.21619
943,0.00931,-,0.00288,0.16599,-,0.21663
944,0.00561,-,0.00323,0.11581,-,0.21698
945,0.00971,-,0.00333,0.16599,-,0.21667
946,0.00540,-,0.00387,0.16624,-,0.26634
947,0.00517,-,0.00288,0.16668,-,0.21699
948,0.00565,-,0.00378,0.16675,-,0.26667
949,0.01007,-,0.00349,0.16585,-,0.26656
950,0.00550,-,0.00353,0.16637,-,0.21697
951,0.00980,-,0.00339,0.16618,-,0.21631
952,0.00551,-,0.00292,0.16660,-,0.26731
953,0.00584,-,0.00377,0.16638,-,0.26693
954,0.00990,-,0.00327,0.16590,-,0.21586
955,0.00943,-,0.00330,0.16687,-,0.26730
956,0.00989,-,0.00392,0.16615,-,0.26742
957,0.00971,-,0.00299,0.16615,-,0.26690
958,0.00566,-,0.00341,0.16700,-,0.21667
959,0.00963,-,0.00362,0.16629,-,0.21628
960,0.00965,-,0.00372,0.16649,-,0.21679
961,0.00965,-,0.00367,0.16645,-,0.26707
962,0.00961,-,0.00309,0.16643,-,0.21686
963,0.00950,-,0.00355,0.21674,-,0.26712
964,0.00579,-,0.00320,0.16608,-,0.21681
965,0.00549,-,0.00320,0.16610,-,0.26711
966,0.00944,-,0.00313,0.16576,-,0.26671
967,0.00978,-,0.00329,0.16585,-,0.26596
968,0.00509,-,0.00293,0.16546,-,0.21574
969,0.00512,-,0.00285,0.16575,-,0.21534
970,0.00517,-,0.00276,0.16526,-,0.26606
971,0.00528,-,0.00318,0.16608,-,0.26732
972,0.00988,-,0.00322,0.21641,-,0.21652
973,0.00579,-,0.00333,0.21693,-,0.26740
974,0.01008,-,0.00306,0.16564,-,0.21596
975,0.00957,-,0.00364,0.16652,-,0.26691
976,0.01010,-,0.00362,0.21641,-,0.26584
977,0.00581,-,0.00323,0.16554,-,0.21548
978,0.00955,-,0.00284,0.16606,-,0.26737
979,0.00473,-,0.00237,0.16602,-,0.21592
980,0.01003,-,0.00338,0.16630,-,0.26719
981,0.01020,-,0.00348,0.16619,-,0.26666
982,0.00989,-,0.00324,0.21597,-,0.21606
983,0.00553,-,0.00304,0.16688,-,0.21701
984,0.00580,-,0.00338,0.16637,-,0.21653
985,0.00575,-,0.00327,0.21699,-,0.21688
986,0.00585,-,0.00328,0.16628,-,0.21701
987,0.00556,-,0.00315,0.16632,-,0.21696
988,0.00561,-,0.00329,0.16603,-,0.21604
989,0.00479,-,0.00277,0.16565,-,0.21661
990,0.00605,-,0.00346,0.16611,-,0.26694
991,0.00576,-,0.00327,0.16626,-,0.21643
992,0.00579,-,0.00318,0.16630,-,0.21656
993,0.00577,-,0.00333,0.16638,-,0.21682
994,0.00564,-,0.00306,0.16634,-,0.26694
995,0.00515,-,0.00273,0.16549,-,0.21624
996,0.00532,-,0.00281,0.16564,-,0.26707
997,0.00521,-,0.00278,0.16597,-,0.21693
998,0.00556,-,0.00312,0.16646,-,0.26669
999,0.00574,-,0.00373,0.16688,-,0.21675
1000,0.00998,-,0.00334,0.21686,-,0.26669
1001,0.01008,-,0.00371,0.21721,-,0.26674
1002,0.00564,-,0.00294,0.16604,-,0.26654
1003,0.00985,-,0.00359,0.16594,-,0.31627
1004,0.00974,-,0.00339,0.16691,-,0.21596
1005,0.01007,-,0.00382,0.16635,-,0.21694
1006,0.00477,-,0.00271,0.16525,-,0.26637
1007,0.00986,-,0.00348,0.16641,-,0.26681
1008,0.00983,-,0.00341,0.16611,-,0.26681
1009,0.00573,-,0.00269,0.16530,-,0.21600
1010,0.00942,-,0.00284,0.16637,-,0.26673
1011,0.01049,-,0.00400,0.16605,-,0.21581
1012,0.00548,-,0.00350,0.16597,-,0.21649
1013,0.00955,-,0.00315,0.16601,-,0.21646
1014,0.00564,-,0.00344,0.16597,-,0.21693
1015,0.00977,-,0.00362,0.16635,-,0.21677
1016,0.00566,-,0.00331,0.21705,-,0.26719
1017,0.00516,-,0.00338,0.16620,-,0.21593
1018,0.00491,-,0.00307,0.16626,-,0.26713
1019,0.00981,-,0.00385,0.21605,-,0.21634
1020,0.00517,-,0.00380,0.16647,-,0.31759
1021,0.01004,-,0.00384,0.16660,-,0.31752
1022,0.00999,-,0.00356,0.16660,-,0.26712
1023,0.00979,-,0.00337,0.16638,-,0.26671
1024,0.00566,-,0.00344,0.16619,-,0.21621
1025,0.00958,-,0.00331,0.21637,-,0.26598
1026,0.00600,-,0.00352,0.16626,-,0.21688
1027,0.00992,-,0.00355,0.16780,-,0.26705
1028,0.00561,-,0.00325,0.16614,-,0.26698
1029,0.00982,-,0.00388,0.16636,-,0.21641
1030,0.01020,-,0.00353,0.16647,-,0.21696
1031,0.00584,-,0.00333,0.16634,-,0.26714
1032,0.01002,-,0.00320,0.16616,-,0.21709
1033,0.01001,-,0.00368,0.16612,-,0.26762
1034,0.00531,-,0.00297,0.21633,-,0.26725
1035,0.00965,-,0.00313,0.16579,-,0.26717
1036,0.00583,-,0.00339,0.16623,-,0.21630
1037,0.00978,-,0.00377,0.16677,-,0.26701
1038,0.01025,-,0.00368,0.16651,-,0.26705
1039,0.01030,-,0.00324,0.16605,-,0.26725
1040,0.01013,-,0.00385,0.16625,-,0.26754
1041,0.00561,-,0.00311,0.16601,-,0.26672
1042,0.00593,-,0.00360,0.16602,-,0.26671
1043,0.01006,-,0.00347,0.16594,-,0.21666
1044,0.00572,-,0.00330,0.16648,-,0.21694
1045,0.00568,-,0.00335,0.16657,-,0.21633
1046,0.00534,-,0.00286,0.16586,-,0.31607
1047,0.00929,-,0.00342,0.16563,-,0.21582
1048,0.00518,-,0.00278,0.16522,-,0.21592
1049,0.00531,-,0.00260,0.16536,-,0.26627
1050,0.00542,-,0.00294,0.16667,-,0.26777
1051,0.00997,-,0.00345,0.21655,-,0.26700
